Key,Source,Context,Changes,English,Russian,TChinese

perkLooteringName,progression,perk,,Lootering,Мародерство,掠奪
perkLooteringDesc,progression,perk,,"To find good loot, you need to understand where and why it was hidden. Master the skill of finding rare loot and you will always have something to offer for sale.","Чтобы найти хорошую добычу, нужно понимать где и зачем ее прятали. Обвладейте навыком поиска редкой добычи и у вас всегда что будет предложить на продажу.","要找到好的戰利品，你需要理解它被藏在哪裡以及為什麼被藏起來。掌握尋找稀有戰利品的技能，你就總有東西可以出售。"
perkLooteringRank1LongDesc,progression,Skills,,"Look more carefully.\nLoot Search Bonus 5%","Ищите внимательнее.\nБонус поиска добычи 5%","仔細尋找。\n戰利品搜索加成 5%"
perkLooteringRank2LongDesc,progression,Skills,,"A good thief always knows where to look...\nLoot Search Bonus 10%","Хороший вор всегда знает где искать...\nБонус поиска добычи 10%","優秀的小偷總是知道去哪裡找...\n戰利品搜索加成 10%"
perkLooteringRank3LongDesc,progression,Skills,,"If you can't find anything, you can just take it away.\nLoot Search Bonus 15%","Если ничего не найти, можно просто отобрать.\nБонус поиска добычи 15%","如果找不到任何東西，你可以直接搶走。\n戰利品搜索加成 15%"
perkLooteringRank4LongDesc,progression,Skills,,"...and an experienced Thief knows how to get away with it.\nLoot Search Bonus 20%","...а Опытный вор знает как с этим уйти.\nБонус поиска добычи 20%","...而經驗豐富的小偷知道如何逃脫。\n戰利品搜索加成 20%"
perkLooteringRank5LongDesc,progression,Skills,,"Nothing can be hidden from you.\n25% loot search bonus","От вас ничего не спрятать.\nБонус поиска добычи 25%","沒有什麼能躲過你的眼睛。\n戰利品搜索加成 25%"
perkLooteringRank1Desc,progression,Skills,,Seeker,Искатель,尋寶者
perkLooteringRank2Desc,progression,Skills,,Thief,Вор,小偷
perkLooteringRank3Desc,progression,Skills,,Looter,Мародер,掠奪者
perkLooteringRank4Desc,progression,Skills,,Experienced thief,Опытный вор,經驗豐富的小偷
perkLooteringRank5Desc,progression,Skills,,Pro Looter,Профессиональный грабитель,專業掠奪者

perkZombieExpertName,progression,perk,,Zombie Expert,Эксперт по зомби,殭屍專家
perkZombieExpertDesc,progression,perk,,"To find good loot, you need to understand where and why it was hidden. Master the skill of finding rare loot and you will always have something to offer for sale.","Чтобы найти хорошую добычу, нужно понимать где и зачем ее прятали. Обвладейте навыком поиска редкой добычи и у вас всегда что будет предложить на продажу.","要找到好的戰利品，你需要理解它被藏在哪裡以及為什麼被藏起來。掌握尋找稀有戰利品的技能，你就總有東西可以出售。"
perkZombieExpertRank1LongDesc,progression,Skills,,"These running creatures can be quickly calmed down if you know how. Increased damage to feral zombies by 15%","Этих бегающих тварей можно быстро успокоить, если знаешь как. Увеличен урон по диким зомби на 15%","如果你知道方法，這些奔跑的生物可以很快被平息。對狂暴殭屍的傷害增加15%"
perkZombieExpertRank2LongDesc,progression,Skills,,"You understand the weak points of irradiated zombies very well.\nIncreased damage to feral zombies by 30% and to radiated ones by 15%.","Вы хорошо понимаете слабые места облученных зомби.\nУвеличен урон по диким зомби на 30% и по радиактивным на 15%","你非常了解輻射殭屍的弱點。\n對狂暴殭屍的傷害增加30%，對輻射殭屍的傷害增加15%。"
perkZombieExpertRank3LongDesc,progression,Skills,,"There is no such type of zombie that you have not killed yet.\nIncreased damage to feral zombies by 40%, to radioactive by 30%, to elite by 20%","Нет такого вида зомби которого вы еще не убивали.\nУвеличен урон по диким зомби на 40%, по радиактивным на 30%, по элитным на 20%","沒有你還沒殺過的殭屍類型。\n對狂暴殭屍的傷害增加40%，對輻射殭屍的傷害增加30%，對精英殭屍的傷害增加20%"
perkZombieExpertRank1Desc,progression,Skills,,Ferals,Дикие,狂暴
perkZombieExpertRank2Desc,progression,Skills,,Radiateds,Облученные,輻射
perkZombieExpertRank3Desc,progression,Skills,,Elites,Элитные,精英

perkHealthyBodyName,progression,perk,,Healthy Body,Здоровое тело,健康的身體
perkHealthyBodyDesc,progression,perk,,"By improving your body you will easily overcome any challenges. Your health and endurance will only grow.","Совершенствуя свое тело вы легко преодолеете любые испытания. Запас вашего здоровья и выносливости будет только расти.","通過改善你的身體，你將輕鬆克服任何挑戰。你的健康和耐力只會增長。"
perkHealthyBodyRank1LongDesc,progression,Skills,,"Proper nutrition is the key to health - everyone says so. You know it from experience.\nHealth and stamina increased by 20","Правильное питание залог здоровья - все так говорят. Вы это знаете на деле.\nЗапас здоровья и выносливости увеличен на 20","適當的營養是健康的關鍵 - 每個人都這麼說。你從經驗中知道這一點。\n健康和耐力增加20"
perkHealthyBodyRank2LongDesc,progression,Skills,,"Regular fitness training pays off.\Health and stamina increased by 40","Регулярные занятия фитнесом дают свои плоды.\nЗапас здоровья и выносливости увеличен на 40","定期的健身訓練是有回報的。\n健康和耐力增加40"
perkHealthyBodyRank3LongDesc,progression,Skills,,"You will always find how to get the maximum load on your body.\nHealth and stamina reserves increased by 60","Вы всегда найдете как получить максимальную нагрузку на свой организм.\nЗапас здоровья и выносливости увеличен на 60","你總能找到如何給你的身體最大負荷。\n健康和耐力儲備增加60"
perkHealthyBodyRank4LongDesc,progression,Skills,,"With this form you are ready for the Olympic Games.\nHealth and stamina increased by 80","С такой формой вам прямиком на олимпийские игры.\nЗапас здоровья и выносливости увеличен на 80","有了這樣的體型，你已經準備好參加奧運會了。\n健康和耐力增加80"
perkHealthyBodyRank5LongDesc,progression,Skills,,"Your physical form is like that of the ancient Greek gods.\nHealth and stamina are increased by 100","Ваша физическая форма как у древнегреческих богов.\nЗапас здоровья и выносливости увеличен на 100","你的身材就像古希臘眾神一樣。\n健康和耐力增加100"
perkHealthyBodyRank1Desc,progression,Skills,,Lover of healthy eating,Любитель правильного питания,健康飲食愛好者
perkHealthyBodyRank2Desc,progression,Skills,,Fitness trainer,Фитнес тренер,健身教練
perkHealthyBodyRank3Desc,progression,Skills,,Iron Man,Железный человек,鋼鐵俠
perkHealthyBodyRank4Desc,progression,Skills,,Olympic champion,Олимпийский чемпион,奧運冠軍
perkHealthyBodyRank5Desc,progression,Skills,,Hercules,Геракл,大力神

perkSelfMedicationName,progression,perk,,Self Medication,Самолечение,自我醫療
perkSelfMedicationDesc,progression,perk,,"You can cure yourself of any disease. By developing self-healing, you increase the treatment received, the speed of recovery of critical wounds, and also gradually restore the health reserve.","Вы можете сами себя вылечить от любых болезней. Развивая самолечение вы увеливаете получаемое лечение, скорость восстановление критических ранений, а также постепенно восстанавливаете запас здоровья.","你可以治癒自己的任何疾病。通過發展自我治療，你增加了接受的治療，重傷恢復的速度，並逐漸恢復健康儲備。"
perkSelfMedicationRank1LongDesc,progression,Skills,,"It hurts for now, but it will soon pass.\nHealing received increased by 10%. Critical wound recovery speed increased by 4%. You additionally restore 1 health every 35 seconds.","Пока болит, но скоро все пройдет.\nПолучаемое лечение увеличено на 10%. Скорость восстановления критических ранений увеличена на 4%. Вы дополнительно восстанавливаете 1 здоровье каждые 35 секунд.","現在很疼，但很快就會過去。\n接受的治療增加10%。重傷恢復速度增加4%。你每35秒額外恢復1點健康。"
perkSelfMedicationRank2LongDesc,progression,Skills,,"You're still confusing the pills, but it seems to be helping.\nHealing received increased by 20%. Critical wound recovery speed increased by 8%. You restore an additional 1 health every 25 seconds.","Вы все еще путаете таблетки, но вроде помогает.\nПолучаемое лечение увеличено на 20%. Скорость восстановления критических ранений увеличена на 8%. Вы дополнительно восстанавливаете 1 здоровье каждые 25 секунд.","你仍然搞混了藥丸，但似乎有幫助。\n接受的治療增加20%。重傷恢復速度增加8%。你每25秒額外恢復1點健康。"
perkSelfMedicationRank3LongDesc,progression,Skills,,"There is no secret - tie it up and lie down\nHealing received is increased by 30%. Critical wound recovery speed is increased by 12%. You additionally restore 1 health every 15 seconds.","Нет никакого секрета - завяжи и лежи\nПолучаемое лечение увеличено на 30%. Скорость восстановления критических ранений увеличена на 12%. Вы дополнительно восстанавливаете 1 здоровье каждые 15 секунд.","沒有秘密 - 綁好傷口然後躺下\n接受的治療增加30%。重傷恢復速度增加12%。你每15秒額外恢復1點健康。"
perkSelfMedicationRank4LongDesc,progression,Skills,,"Old recipes for ointments and medicines work at all times.\nHealing received is increased by 40%. Critical wound recovery speed is increased by 16%. You additionally restore 1 health every 10 seconds.","Старые рецепты мазей и лекарств работают во все времена.\nПолучаемое лечение увеличено на 40%. Скорость восстановления критических ранений увеличена на 16%. Вы дополнительно восстанавливаете 1 здоровье каждые 10 секунд.","古老的軟膏和藥物配方在任何時候都有效。\n接受的治療增加40%。重傷恢復速度增加16%。你每10秒額外恢復1點健康。"
perkSelfMedicationRank5LongDesc,progression,Skills,,"You are a Guru of Medicine.\nHealing received is increased by 50%. Critical wound recovery speed is increased by 20%. You additionally restore 1 health every 5 seconds.","Вы Гуру медицины.\nПолучаемое лечение увеличено на 50%. Скорость восстановления критических ранений увеличена на 20%. Вы дополнительно восстанавливаете 1 здоровье каждые 5 секунд.","你是醫學大師。\n接受的治療增加50%。重傷恢復速度增加20%。你每5秒額外恢復1點健康。"
perkSelfMedicationRank1Desc,progression,Skills,,Nurse,Санитар,護士
perkSelfMedicationRank2Desc,progression,Skills,,Intern,Интерн,實習醫生
perkSelfMedicationRank3Desc,progression,Skills,,Doctor,Врач,醫生
perkSelfMedicationRank4Desc,progression,Skills,,Medical specialist,Специалист по медицине,醫學專家
perkSelfMedicationRank5Desc,progression,Skills,,Doctor of Medical Sciences,Доктор медицинских наук,醫學博士

perkFastFeetName,progression,perk,,Fast Feet,Быстрые ноги,快腳
perkFastFeetDesc,progression,perk,,"Fast legs are essential when exploring the wasteland. Who knows who might show up and where.\nBy training your legs you increase your overall movement speed.","Быстрые ноги крайне важны когда вы исследуете пустошь. Кто знает кто и откуда может появиться.\nТренеруя свои ноги вы увеличиваете общую скорость пердвижения.","在探索荒廢之地時，快速的腿是必不可少的。誰知道會從哪裡冒出什麼人。\n通過訓練你的腿，你增加了整體移動速度。"
perkFastFeetRank1LongDesc,progression,Skills,,"Movement is life... You said it when you saw the horde.\nMovement speed increased by 5%, and stamina consumption when running decreased by 5%","Движение жизнь... Сказали вы увидев орду.\nСкорость передвижения увеличена на 5%, а расход выносливости при беге уменьшен на 5%","運動就是生命...當你看到那群殭屍時，你這麼說。\n移動速度增加5%，奔跑時的耐力消耗減少5%"
perkFastFeetRank2LongDesc,progression,Skills,,"Sometimes it's better to run than to lie down.\nMovement speed increased by 10%, and stamina consumption while running decreased by 10%","Иногда лучше бежать чем лежать.\nСкорость передвижения увеличена на 10%, а расход выносливости при беге уменьшен на 10%","有時跑比躺下更好。\n移動速度增加10%，奔跑時的耐力消耗減少10%"
perkFastFeetRank3LongDesc,progression,Skills,,"The distance may not be long, but they definitely can't catch up with you.\nMovement speed increased by 15%, and stamina consumption while running decreased by 15%","Может дистанция и не большая, но догнать вас точно не могут.\nСкорость передвижения увеличена на 15%, а расход выносливости при беге уменьшен на 15%","距離可能不長，但他們肯定追不上你。\n移動速度增加15%，奔跑時的耐力消耗減少15%"
perkFastFeetRank4LongDesc,progression,Skills,,"You can run a marathon right now. Your legs won't let you down.\nMovement speed increased by 20%, and stamina consumption when running decreased by 20%","Вам хоть сейчас на марафон. Ноги вас точно не подведут.\nСкорость передвижения увеличена на 20%, а расход выносливости при беге уменьшен на 20%","你現在就可以跑馬拉松。你的腿絕對不會讓你失望。\n移動速度增加20%，奔跑時的耐力消耗減少20%"
perkFastFeetRank5LongDesc,progression,Skills,,"You move like a rocket. No one can catch you.\nMovement speed increased by 30%, and stamina consumption while running decreased by 30%","Вы двигаетесь как ракета. Вас не догнать.\nСкорость передвижения увеличена на 30%, а расход выносливости при беге уменьшен на 30%","你的移動像火箭一樣。沒人能追上你。\n移動速度增加30%，奔跑時的耐力消耗減少30%"
perkFastFeetRank1Desc,progression,Skills,,Speed walker,Скороход,快步行者
perkFastFeetRank2Desc,progression,Skills,,Runner,Бегун,跑者
perkFastFeetRank3Desc,progression,Skills,,Sprinter,Спринтер,短跑選手
perkFastFeetRank4Desc,progression,Skills,,Marathon runner,Марафонец,馬拉松選手
perkFastFeetRank5Desc,progression,Skills,,Rocket Man,Человек ракета,火箭人

perkHeavyBurdenName,progression,perk,,Heavy Burden,Тяжелая ноша,沉重負擔
perkHeavyBurdenDesc,progression,perk,,"A teacher of packing and transporting any loads. This will allow you to carry more items without consequences.","Научитель упаковывать и транспортировать любые грузы. Это позволит вам переносить больше предметов без последствий.","一位包裝和運輸任何負載的老師。這將允許你攜帶更多物品而不會有後果。"
perkHeavyBurdenRank1LongDesc,progression,Skills,,"You can handle any boxes with ease.\nYou can carry 6 additional items without consequences","Вы легко управляетесь с любыми коробками.\nВы можете нести 6 дополнительных предметов без последствий","你可以輕鬆處理任何箱子。\n你可以額外攜帶6件物品而不會有後果"
perkHeavyBurdenRank2LongDesc,progression,Skills,,"You understand perfectly well how to move heavy loads.\nYou can carry 12 additional items without consequences","Вы прекрасно понимате я переместить тяжелые грузы.\nВы можете нести 12 дополнительных предметов без последствий","你完全理解如何移動重物。\n你可以額外攜帶12件物品而不會有後果"
perkHeavyBurdenRank3LongDesc,progression,Skills,,"You are an expert in packing and transporting any cargo.\nYou can carry 18 additional items without consequences","Вы эксперт в упаковке и транспортировке любых грузов.\nВы можете нести 18 дополнительных предметов без последствий","你是包裝和運輸任何貨物的專家。\n你可以額外攜帶18件物品而不會有後果"
perkHeavyBurdenRank1Desc,progression,Skills,,Pizza delivery man,Доставщик пиццы,披薩送貨員
perkHeavyBurdenRank2Desc,progression,Skills,,Cargo Master,Груз мастер,貨運大師
perkHeavyBurdenRank3Desc,progression,Skills,,Genius of transportation,Гений транспортировки,運輸天才

perkTirelessnessName,progression,perk,,Tirelessness,Неутомимость,不知疲倦
perkTirelessnessDesc,progression,perk,,"Learn to distribute your strength correctly. This will help you reduce the consumption of stamina when working with a tool or melee weapon.","Научитесь правильно распределять силы. Так вы сможете снизить расход выносливости при работе инструментом или оружием ближнего боя","學會正確分配你的力量。這將幫助你減少使用工具或近戰武器時的耐力消耗。"
perkTirelessnessRank1LongDesc,progression,Skills,,"You can easily help any housewife. Even if it is a big mom.\nStamina consumption when using melee weapons or tools is reduced by 15%","Вы легко можете помочь любой домохозайке. Даже если это большая мамочка.\nРасход выносливости при использовании оружия ближнего боя или инструмента уменьшен на 15%","你可以輕鬆幫助任何家庭主婦。即使是大媽也不例外。\n使用近戰武器或工具時的耐力消耗減少15%"
perkTirelessnessRank2LongDesc,progression,Skills,,"The work of tenacity is to be afraid.\nThe stamina consumption when using a melee weapon or tool is reduced by 30%","Работа упорства боиться.\nРасход выносливости при использовании оружия ближнего боя или инструмента уменьшен на 30%","堅持不懈的工作是要害怕的。\n使用近戰武器或工具時的耐力消耗減少30%"
perkTirelessnessRank3LongDesc,progression,Skills,,"You control when your second, third, fourth... breath opens.\nStamina cost when using melee weapons or tools is reduced by 45%","Вы контролируете когда откроется второе, третье, четвертое... дыхания.\nРасход выносливости при использовании оружия ближнего боя или инструмента уменьшен на 45%","你可以控制你的第二、第三、第四...口氣何時開始。\n使用近戰武器或工具時的耐力消耗減少45%"
perkTirelessnessRank1Desc,progression,Skills,,Husband for an hour,Муж на час,鐘點丈夫
perkTirelessnessRank2Desc,progression,Skills,,Hard work,Упорная работа,艱苦工作
perkTirelessnessRank3Desc,progression,Skills,,Master of the Second Wind,Мастер второго дыхания,第二呼吸大師

0000 Resource gathering 0000

skillResourceGatheringName,progression,Skills,,Resource gathering skills,Навыки сбора ресурсов,資源收集技能

perkStoneUpStoneName,progression,perk,,Stone Upon Stone,Камень на камне,石上加石
perkStoneUpStoneDesc,progression,perk,,"A good miner can destroy a mountain. A super miner can change the world. By developing the skill you will increase the damage to blocks and the amount of resources obtained during mining.","Хороший шахтер может разрушить гору. Супер Шахтер может изменять мир. Развивая навык вы увеличите урон по блокам и объем получаемых ресурсов при добыче","一個好的礦工可以摧毀一座山。一個超級礦工可以改變世界。通過發展這項技能，你將增加對方塊的傷害和採礦時獲得的資源量。"
perkStoneUpStoneRank1LongDesc,progression,Skills,,"Knock... knock... knock...\nIncreased block damage and resource yield by 20% when mining","Тук... тук... тук...\nНа 20% увеличен урон по блокам и получаемые ресурсы при горной добыче","敲...敲...敲...\n採礦時增加20%的方塊傷害和資源產量"
perkStoneUpStoneRank2LongDesc,progression,Skills,,"Knock-knock-knock...\nIncreased block damage and resource yield by 40% when mining","Тук-тук-тук...\nНа 40% увеличен урон по блокам и получаемые ресурсы при горной добыче","敲敲敲...\n採礦時增加40%的方塊傷害和資源產量"
perkStoneUpStoneRank3LongDesc,progression,Skills,,"The main thing is that nothing collapses after such extraction.\nIncreased block damage and resource yield by 60% when mining","Главное чтобы ничего после такой добычи не обвалилось.\nНа 60% увеличен урон по блокам и получаемые ресурсы при горной добыче","最重要的是這樣開採後不會有任何塌陷。\n採礦時增加60%的方塊傷害和資源產量"
perkStoneUpStoneRank4LongDesc,progression,Skills,,"KNOCK-k-k... KNOCK-k-k... KNOCK-k-k...\nIncreased block damage and resource yield by 80% when mining","ТУК-к-к... ТУК-к-к... ТУК-к-к...\nНа 80% увеличен урон по блокам и получаемые ресурсы при горной добыче","咚-咚-咚... 咚-咚-咚... 咚-咚-咚...\n採礦時增加80%的方塊傷害和資源產量"
perkStoneUpStoneRank5LongDesc,progression,Skills,,"A smart person won't go up a mountain, a smart person will go around a mountain. A super miner won't go up a mountain, he'll smash it.\nIncreased block damage and resource yield by 100% when mining","Умный в гору не пойдет, умный гору обойдет. Супер шахтер в гору не пойдет, он ее раздолбает.\nНа 100% увеличен урон по блокам и получаемые ресурсы при горной добыче","聰明人不會爬山，聰明人會繞過山。超級礦工不會爬山，他會把山砸碎。\n採礦時增加100%的方塊傷害和資源產量"
perkStoneUpStoneRank1Desc,progression,Skills,,The Dolt,Долбатель,呆子
perkStoneUpStoneRank2Desc,progression,Skills,,Rock crusher,Камнедробитель,碎石機
perkStoneUpStoneRank3Desc,progression,Skills,,Mine Intendent,Смотритель шахты,礦場監督
perkStoneUpStoneRank4Desc,progression,Skills,,Mountain Destroyer,Разрушитель гор,山峰破壞者
perkStoneUpStoneRank5Desc,progression,Skills,,Super Miner,Супер шахтер,超級礦工

perkRecyclingName,progression,perk,,Recycling,Переработка,回收
perkRecyclingDesc,progression,perk,,"With detailed processing you get more useful resources. The problem with spare parts will solve itself","При детальной переработке вы получаете больше полезных ресурсов. Проблема с запчастями решиться сама собой","通過詳細的處理，你可以獲得更多有用的資源。備件的問題將自行解決"
perkRecyclingRank1LongDesc,progression,Skills,,"If you remember how to assemble, then disassembling is easy.\nDisassembly speed and resources received are increased by 20%","Если помнить как собрать, тогда и разбирать легко.\nНа 20% увеличена скорость при разборе и получаемые ресурсы","如果你記得如何組裝，那麼拆解就很容易。\n拆解速度和獲得的資源增加20%"
perkRecyclingRank2LongDesc,progression,Skills,,"Assembly line at the factory, almost the same as the dismantling line in the wasteland.\nSpeed of dismantling and resources received increased by 40%","Сборачная линия на заводе, почти тоже самое что разборачная в пустоше.\nНа 40% увеличена скорость при разборе и получаемые ресурсы","工廠的裝配線，幾乎和荒廢之地的拆解線一樣。\n拆解速度和獲得的資源增加40%"
