Key,Source,Context,Changes,English,Russian,TChinese
armorPreacherGlovesDesc,items,Clothes,,Light Armor\nSmite thy enemy. Increases damage dealt to the undead.\n\nFull Set Bonus: Increases wasteland experience gained and provides resistance to 1 radiation effect.,Легкая броня\nПорази врага твоего. Увеличивает урон, наносимый нежити.\n\Бонус комплекта: Увеличивает получаемый опыт в пустоше и дает сопротивление к 1 эффекту радиации,輕甲\n懲戒你的敵人。增加對不死生物造成的傷害。\n\n全套裝備加成：增加在荒野獲得的經驗值，並提供對1種輻射效果的抗性。
armorPreacherBootsDesc,items,Clothes,,Light Armor\nYou can't do anything if you're dead. Decreases treated healing time of abrasions and breaks.\n\nFull Set Bonus: Increases wasteland experience gained and provides resistance to 1 radiation effect.,Легкая броня\nВы ничего не сможете сделать будучи мертвым. Уменьшает время заживления ссадин и переломов.\n\Бонус комплекта: Увеличивает получаемый опыт в пустоше и дает сопротивление к 1 эффекту радиации,輕甲\n死了就什麼都做不了了。減少擦傷和骨折的治療時間。\n\n全套裝備加成：增加在荒野獲得的經驗值，並提供對1種輻射效果的抗性。
buffPreacherSetBonusTooltip,buffs,Buff,,Preacher Full Set Bonus Active,Бонус за полный комплект священника активен,傳教士全套裝備加成已啟動
buffPreacherSemiSetBonusTooltip,buffs,Buff,,Preacher Semi Set Bonus Active,Бонус за полукомплект священника активен,傳教士半套裝備加成已啟動
buffPreacherSetBonusDesc,buffs,Buff,,You will be filled with faith in the wasteland.\n\nExperience gained increased by {cvar(.armorPreacherFSBDisplay:0)}% the wasteland.\nGrants resistance to one active radiation effect.,Вы преисполнятесь верой в пустоше.\n\nПолучаемый опыт увеличен на {cvar(.armorPreacherFSBDisplay:0)}% в пустоше.\nДает сопротивление к одному эффекту активной радиации.,你將在荒野中充滿信念。\n\n在荒野中獲得的經驗值增加{cvar(.armorPreacherFSBDisplay:0)}%。\n獲得對一種活躍輻射效果的抗性。
buffPreacherSemiSetBonusDesc,buffs,Buff,,"Even with an incomplete Preacher set, you will be filled with faith in the wasteland.\n\nExperience gained is increased by {cvar(.armorSemiPreacherFSBDisplay:0)}% in the wasteland","Даже в неполном комплекте Священника, Вы преисполнятесь верой в пустоше.\n\nПолучаемый опыт увеличен на {cvar(.armorSemiPreacherFSBDisplay:0)}% в пустоше","即使是不完整的傳教士套裝，你也將在荒野中充滿信念。\n\n在荒野中獲得的經驗值增加{cvar(.armorSemiPreacherFSBDisplay:0)}%"

armorRogueHelmetDesc,items,Clothes,,Light Armor\nA true rogue always recognizes profit. You find more banknotes and dukes in the loot.\n\nFull Set Bonus: Increases damage of bows and crossbows.,Легкая броня\nНастоящий разбойник всегда распознает добычу. Вы находите больше банкнот и дюков в луте.\n\Бонус комплекта: Увеличивает урон луков и арбалетов.,輕甲\n真正的盜賊總能識別利潤。你在戰利品中找到更多鈔票和杜克幣。\n\n全套裝備加成：增加弓箭和弩的傷害。
armorRogueOutfitDesc,items,Clothes,,Light Armor\nWounds heal like a dog's. Increases the healing rate of critical wounds.\n\nFull Set Bonus: Increases damage of bows and crossbows.,Легкая броня\nРаны заживают как у собаки. Увеличивет скорость лечения критических ранений.\n\Бонус комплекта: Увеличивает урон луков и арбалетов.,輕甲\n傷口像狗一樣快速癒合。增加重傷的治療速度。\n\n全套裝備加成：增加弓箭和弩的傷害。
armorRogueGlovesDesc,items,Clothes,,Light Armor\nArrows and bolts do not slip out of my hands at the wrong moment. Increased reload speed of bows and crossbows.\n\nFull Set Bonus: Increases damage of bows and crossbows.,Легкая броня\nСтрелы и болты не выскальзываю из рук в ненужный момент. Увеличена скорость перезарядки луков и арбалетов.\n\Бонус комплекта: Увеличивает урон луков и арбалетов.,輕甲\n箭矢和弩箭不會在錯誤的時刻從手中滑落。增加弓箭和弩的重新裝填速度。\n\n全套裝備加成：增加弓箭和弩的傷害。
armorRogueBootsDesc,items,Clothes,,Light Armor\nAlmost a ninja. Less noise and faster movement in stealth.\n\nFull Set Bonus: Increases damage of bows and crossbows.,Легкая броня\nПочти ниндзя. Меньше шума и быстрее передвижение в стелсе.\n\Бонус комплекта: Увеличивает урон луков и арбалетов.,輕甲\n幾乎是個忍者。潛行時噪音更小，移動更快。\n\n全套裝備加成：增加弓箭和弩的傷害。
buffRogueSetBonusTooltip,buffs,Buff,,Rogue Full Set Bonus Active,Бонус за полный комплект разбойника активен,盜賊全套裝備加成已啟動
buffRogueSemiSetBonusTooltip,buffs,Buff,,Rogue Semi Set Bonus Active,Бонус за полукомплект разбойника активен,盜賊半套裝備加成已啟動
buffRogueSemiSetBonusDesc,buffs,Buff,,"Even with an incomplete Rogue set, you are an excellent archer.\n\nBow and crossbow damage increased by {cvar(.armorSemiRogueFSBDisplay:0)}%","Даже в неполном комплекте Разбойника, Вы прекрасно стреляете из лука.\n\nУрон луков и арбалетов увеличена на {cvar(.armorSemiRogueFSBDisplay:0)}%","即使是不完整的盜賊套裝，你也是一個出色的弓箭手。\n\n弓箭和弩的傷害增加{cvar(.armorSemiRogueFSBDisplay:0)}%"
buffRogueSetBonusDesc,buffs,Buff,,You are a master of archery.\n\nDamage of bows and crossbows increased by {cvar(.armorRogueFSBDisplay:0)}%,Вы мастер стрельбы из лука.\n\nУрон луков и арбалетов увеличена на {cvar(.armorRogueFSBDisplay:0)}%.,你是弓箭大師。\n\n弓箭和弩的傷害增加{cvar(.armorRogueFSBDisplay:0)}%。

armorAthleticHelmetDesc,items,Clothes,,Light Armor\nSave some food and water for the marathon. Reduced water and food consumption.\n\nFull Set Bonus: Increases all experience gained.,Легкая броня\nСохраняйте часть еду и воду на марафон. Уменьшен расход воды и еды.\n\Бонус комплекта: Увеличивает весь получаемый опыт.,輕甲\n為馬拉松節省一些食物和水。減少水和食物消耗。\n\n全套裝備加成：增加所有獲得的經驗值。
armorAthleticOutfitDesc,items,Clothes,,Light Armor\nSportsman's clothing on a slender body. Increases the amount of health.\n\nFull Set Bonus: Increases all experience gained.,Легкая броня\nОдежда спортмена на стройном теле. Увеличивает количество здоровья.\n\Бонус комплекта: Увеличивает весь получаемый опыт.,輕甲\n運動員的衣服穿在修長的身體上。增加生命值。\n\n全套裝備加成：增加所有獲得的經驗值。
armorAthleticGlovesDesc,items,Clothes,,Light Armor\nComfortable gloves for quickly handling any weapon. Increases reload speed.\n\nFull Set Bonus: Increases all experience gained.,Легкая броня\nУдобные перчатки чтобы быстро обращаться с любым оружием. Увеличивает скорость перезарядки.\n\Бонус комплекта: Увеличивает весь получаемый опыт.,輕甲\n舒適的手套，可以快速操作任何武器。增加重新裝填速度。\n\n全套裝備加成：增加所有獲得的經驗值。
armorAthleticBootsDesc,items,Clothes,,Light Armor\nComfortable shoes for jogging. Increases the speed of stamina regeneration when running.\n\nFull Set Bonus: Increases all experience gained.,Легкая броня\nУдобная обувь для пробежки. Увеличивает скорость регенерации выносливости при беге.\n\Бонус комплекта: Увеличивает весь получаемый опыт.,輕甲\n舒適的慢跑鞋。增加跑步時耐力恢復速度。\n\n全套裝備加成：增加所有獲得的經驗值。
buffAthleticSetBonusTooltip,buffs,Buff,,Athletic Full Set Bonus Active,Бонус за полный комплект спортсмена активен,運動員全套裝備加成已啟動
buffAthleticSemiSetBonusTooltip,buffs,Buff,,Athletic Semi Set Bonus Active,Бонус за полукомплект спортсмена активен,運動員半套裝備加成已啟動
buffAthleticSemiSetBonusDesc,buffs,Buff,,"Even with an incomplete Athletic set, you can develop your skills.\n\nAll experience gained is increased by {cvar(.armorSemiAthleticFSBDisplay:0)}%","Даже в неполном комплекте Спортсмена, Вы можете развивать свои навыки.\n\nВесь получаемый опыт увеличен на {cvar(.armorSemiAthleticFSBDisplay:0)}%","即使是不完整的運動員套裝，你也能發展你的技能。\n\n所有獲得的經驗值增加{cvar(.armorSemiAthleticFSBDisplay:0)}%"
buffAthleticSetBonusDesc,buffs,Buff,,A healthy body means a healthy mind.\n\nAll experience gained is increased by {cvar(.armorAthleticFSBDisplay:0)}%,Здоровому телу - здоровый дух.\n\nВесь получаемый опыт увеличен на {cvar(.armorAthleticFSBDisplay:0)}%.,健康的身體意味著健康的心智。\n\n所有獲得的經驗值增加{cvar(.armorAthleticFSBDisplay:0)}%。

armorEnforcerHelmetDesc,items,Clothes,,Light Armor\nWith such a hat you can always negotiate a good price for your product. Increases selling price.\n\nFull Set Bonus: Increases the damage of the Gunslinger ability.,Легкая броня\nС такой шляпой вы всегда может договориться о хорошей цене за ваш товар. Увеличивает стоимость продажи.\n\Бонус комплекта: Увеличивает урон от способности Стрелок.,輕甲\n有了這樣的帽子，你總能為你的商品談到一個好價錢。增加售價。\n\n全套裝備加成：增加槍手能力的傷害。
armorEnforcerOutfitDesc,items,Clothes,,Light Armor\nStylish and lightweight materials mean you can withstand any impact. Increases resistance to critical injuries.\n\nFull Set Bonus: Increases the damage of the Gunslinger ability.,Легкая броня\nБлагодаря стильным и легким материалам вы сможете выдержать любой удар. Повышает сопротивление критическим травмам.\n\Бонус комплекта: Увеличивает урон от способности Стрелок.,輕甲\n時尚輕巧的材料意味著你能承受任何衝擊。增加對重傷的抗性。\n\n全套裝備加成：增加槍手能力的傷害。
armorEnforcerGlovesDesc,items,Clothes,,Light Armor\nThese gloves were worn back in the days of the Wild West. Increases pistols reload speed.\n\nFull Set Bonus: Increases the damage of the Gunslinger ability.,Легкая броня\nТакие перчатки носили еще во времена Дикого запада. Увеличивает скорость перезарядки ПП и пистолетов.\n\Бонус комплекта: Увеличивает урон от способности Стрелок.,輕甲\n這些手套在狂野西部時代就已經被使用了。增加手槍的重新裝填速度。\n\n全套裝備加成：增加槍手能力的傷害。
armorEnforcerBootsDesc,items,Clothes,,Light Armor\nThese shoes will not soon become unusable. Increases stamina.\n\nFull Set Bonus: Increases the damage of the Gunslinger ability.,Легкая броня\nЭта обувь еще не скоро придет в негодность. Увеличивает запас выносливости.\n\Бонус комплекта: Увеличивает урон от способности Стрелок.,輕甲\n這雙鞋不會很快就變得不能用。增加耐力。\n\n全套裝備加成：增加槍手能力的傷害。
buffEnforcerSetBonusTooltip,buffs,Buff,,Enforcer Full Set Bonus Active,Бонус за полный комплект законника активен,執法者全套裝備加成已啟動
buffEnforcerSemiSetBonusTooltip,buffs,Buff,,Enforcer Semi Set Bonus Active,Бонус за полукомплект законника активен,執法者半套裝備加成已啟動
buffEnforcerSemiSetBonusDesc,buffs,Buff,,"Even with an incomplete Enforcer set, pistols are your best friends.\n\nDamage from SMGs and pistols increased by {cvar(.armorSemiEnforcerFSBDisplay:0)}%","Даже в неполном комплекте Законника, Ваши лучшие друзья - пистолеты.\n\nУрон от ПП и пистолетов к увеличен на {cvar(.armorSemiEnforcerFSBDisplay:0)}%","即使是不完整的執法者套裝，手槍也是你最好的朋友。\n\n衝鋒槍和手槍的傷害增加{cvar(.armorSemiEnforcerFSBDisplay:0)}%"
buffEnforcerSetBonusDesc,buffs,Buff,,Your best friends are pistols.\n\nGunslinger ability damage increased by {cvar(.armorEnforcerFSBDisplay:0)}%,Ваши лучшие друзья - пистолеты.\n\nУрон от ПП и пистолетов к увеличен на {cvar(.armorEnforcerFSBDisplay:0)}%.,你最好的朋友是手槍。\n\n槍手能力傷害增加{cvar(.armorEnforcerFSBDisplay:0)}%。

armorFarmerHelmetDesc,items,Clothes,,"Medium Armor\nKeep the sun out of your eyes and on the prize. Increases the chance to find seeds in loot.\n\nFull Set Bonus: Adds a chance to harvest an extra crop.","Средняя броня\nНе позволяйте солнцу светить в глаза. Увеличивает вероятность найти семена в добыче.\n\nБонус за комплект: Дает возможность собрать дополнительный урожай.","中甲\n讓陽光遠離你的眼睛，專注於目標。增加在戰利品中找到種子的機會。\n\n全套裝備加成：增加收穫額外作物的機會。"
armorFarmerOutfitDesc,items,Clothes,,"Medium Armor\nFarmers recover faster with food because they know how to get it. Increases health and stamina recovery from food.\n\nFull Set Bonus: Adds a chance to harvest an extra crop.","Средняя броня\nФермеры быстрее восстанавливаются благодаря еде, потому что знают, как ее добыть. Увеличивает восстановление здоровья и выносливости от еды.\n\nБонус за комплект: Дает возможность собрать дополнительный урожай.","中甲\n農夫通過食物恢復得更快，因為他們知道如何獲得食物。增加食物帶來的健康和耐力恢復。\n\n全套裝備加成：增加收穫額外作物的機會。"
armorFarmerGlovesDesc,items,Clothes,,"Medium Armor\nOnly a real farmer knows how to quickly harvest. Increases the attack speed of knives and machetes.\n\nFull Set Bonus: Adds a chance to harvest an extra crop.","Средняя броня\nТолько настоящий фермер знает как быстро собрать урожай. Увеличивает скорость атаки ножей и мачете.\n\nБонус за комплект: Дает возможность собрать дополнительный урожай.","中甲\n只有真正的農夫知道如何快速收穫。增加刀和大砍刀的攻擊速度。\n\n全套裝備加成：增加收穫額外作物的機會。"
armorFarmerBootsDesc,items,Clothes,,"Medium Armor\nNothing beats a comfortable pair of boots out in the field. Adds a chance to gain a seed when harvesting.\n\nFull Set Bonus: Adds a chance to harvest an extra crop.","Средняя броня\nВ поле без удобной пары обуви никуда. Дает возможность получить семя при сборе урожая.\n\nБонус за комплект: Дает возможность собрать дополнительный урожай.","中甲\n在田野裡，沒有什麼比一雙舒適的靴子更好。收穫時有機會獲得種子。\n\n全套裝備加成：增加收穫額外作物的機會。"
buffFarmerSetBonusTooltip,buffs,Buff,,Farmer Full Set Bonus Active,Бонус за полный комплект фермера активен,農夫全套裝備加成已啟動
buffFarmerSemiSetBonusTooltip,buffs,Buff,,Farmer Semi Set Bonus Active,Бонус за полукомплект фермера активен,農夫半套裝備加成已啟動
buffFarmerSetBonusDesc,buffs,Buff,,"A real farmer knows how to harvest the crop correctly without damaging it.\n\nMakes it possible to collect an additional  {cvar(.armorFarmerFSBDisplay:0)}% of the harvest","Настоящий фермер знает как правильно собирать урожай не повредив его.\n\nДает возможность дополнительно собрать {cvar(.armorFarmerFSBDisplay:0)}% урожая","真正的農夫知道如何正確收穫作物而不損壞它。\n\n使收穫時可以額外收集{cvar(.armorFarmerFSBDisplay:0)}%的作物"
buffFarmerSemiSetBonusDesc,buffs,Buff,,"Even with an incomplete Farmer's kit, you know how to properly harvest crops without damaging them.\n\nGives you the opportunity to additionally harvest {cvar(.armorSemiFarmerFSBDisplay:0)}% of the crop.","Даже в неполном комплекте Фермера, Вы знаете как правильно собирать урожай не повредив его.\n\nДает возможность дополнительно собрать {cvar(.armorSemiFarmerFSBDisplay:0)}% урожая.","即使是不完整的農夫套裝，你也知道如何正確收穫作物而不損壞它們。\n\n讓你有機會額外收穫{cvar(.armorSemiFarmerFSBDisplay:0)}%的作物。"

armorBikerHelmetDesc,items,Clothes,,"Medium Armor\nYou always easily adapt to new areas. Increases all experience gained in desert and winter biomes.\n\nFull Set Bonus: Additional experience for killing ferals and radiated zombies.","Средняя броня\nВы всегда легко адаптируетесь в новой местности. Увеличивает весь получаемый опыт в пустынном и зимнем биомах.\n\nБонус за комплект: Дополнительный опыт за убийство диких и зараженных зомби.","中甲\n你總是能輕鬆適應新環境。增加在沙漠和冬季生態系統中獲得的所有經驗值。\n\n全套裝備加成：殺死野生和輻射殭屍獲得額外經驗值。"
armorBikerOutfitDesc,items,Clothes,,"Medium Armor\nYou can easily put your face under attack. Increases the number of health points.\n\nFull Set Bonus: Additional experience for killing ferals and radiated zombies.","Средняя броня\nВы легко можете подставить лицо под удар. Увеличивает количество очков здоровья.\n\nБонус за комплект: Дополнительный опыт за убийство диких и зараженных зомби.","中甲\n你可以輕鬆地將臉部置於攻擊之下。增加生命值。\n\n全套裝備加成：殺死野生和輻射殭屍獲得額外經驗值。"
armorBikerGlovesDesc,items,Clothes,,"Medium Armor\nDon't fight back - so what? Increases the attack speed of clubs and sledgehammers.\n\nFull Set Bonus: Additional experience for killing ferals and radiated zombies.","Средняя броня\nНе дать сдачи - что как? Увеличивает скорость атаки дубин и кувалд.\n\nБонус за комплект: Дополнительный опыт за убийство диких и зараженных зомби.","中甲\n不還手又怎樣？增加棍棒和大錘的攻擊速度。\n\n全套裝備加成：殺死野生和輻射殭屍獲得額外經驗值。"
armorBikerBootsDesc,items,Clothes,,"Medium Armor\nWithout transport it's like without hands. Reduces fuel consumption of vehicles.\n\nFull Set Bonus: Additional experience for killing ferals and radiated zombies.","Средняя броня\nБез транспорта как без рук. Уменьшает расход топлива у транспорта.\n\nБонус за комплект: Дополнительный опыт за убийство диких и зараженных зомби.","中甲\n沒有交通工具就像沒有手一樣。減少車輛的燃料消耗。\n\n全套裝備加成：殺死野生和輻射殭屍獲得額外經驗值。"
buffBikerSetBonusTooltip,buffs,Buff,,Biker Full Set Bonus Active,Бонус за полный комплект байкера активен,騎士全套裝備加成已啟動
