Key,Source,Context,Changes,English,Russian
buffDesertGroundBaseName,buffs,buff,,Desert Ground,Пустынная земля
buffDesertGroundBaseTooltip,buffs,buff,,You are moving on the desert ground,Вы передвигаетесь по пустынной земле
buffDesertGroundBaseIncDesc,buffs,Buff,,"Moving around the desert ground isn't easy, let alone running. \n\nYour movement speed is reduced by [DECEA3]10%[-] and your jump height is reduced by [DECEA3]15%[-]\n\n[DECEA3]You need to equip the [DECEA3]Wide Sole[-] modification to increase your mobility[-]","Передвигаться по пустынной земле не так уж и просто, а бегать тем более. \n\nВаша скорость передвижения снижена на [DECEA3]10%[-], а высота прыжка на [DECEA3]15%[-]\n\n[DECEA3]Вам необходимо одень модификацию [DECEA3]Широкая подошва[-], чтобы повысить вашу мобильность[-]"

BuffGravelKey,buffs,buff,,Gravel,Гравий
BuffGravelBonusName,buffs,buff,,Gravel,Гравий
BuffGravelBonusTooltip,buffs,buff,,You are moving on gravel,Вы передвигаетесь по гравию
BuffGravelBonusIncDesc,buffs,Buff,,"Gravel makes walking easier and safer.\n\nYour mobility is increased by [DECEA3]5%[-]","По гравию передвигаться легче и безопасней.\n\nВаша мобильность увеличена на [DECEA3]5%[-]"

BuffConcreteKey,buffs,buff,,Concrete,Бетон
BuffConcreteBonusName,buffs,buff,,Concrete,Бетон
BuffConcreteBonusTooltip,buffs,buff,,You are moving on Concrete,Вы передвигаетесь по бетону
BuffConcreteBonusIncDesc,buffs,Buff,,"Walking on smooth concrete is a pleasure.\n\nYour mobility is increased by [DECEA3]10%[-]","Ходить по гладкому бетону одно удовольствие.\n\nВаша мобильность увеличена на [DECEA3]10%[-]"

BuffAsphaltKey,buffs,buff,,Asphalt,Асфальт
BuffAsphaltBonusName,buffs,buff,,Asphalt,Асфальт
BuffAsphaltBonusTooltip,buffs,buff,,You are moving on Asphalt,Вы передвигаетесь по асфальту
BuffAsphaltBonusIncDesc,buffs,Buff,,"A great asphalt road is important not only when you are in transport.\n\nYour mobility is increased by [DECEA3]25%[-]","Прекрасная асфальтная дорога важна не только когда вы на транспорте.\n\nВаша мобильность увеличена на [DECEA3]25%[-]"

modSnowResist,item_modifiers,mod,,Snowshoes Mod,Мод Снегоступы
modSnowResistDesc,item_modifiers,mod,,"Moving through deep snow is now no problem. You significantly increase your mobility when moving through snow","Передвигать по глубокому снегу теперь не составит проблем. Вы значительно повышаете вашу мобильность при передвижении по снегу"
modSandResist,item_modifiers,mod,,Wide Sole Mod,Мод Широкая подошва
modSandResistDesc,item_modifiers,mod,,"Moving on shifting sand will not be a problem. You significantly increase your mobility when moving on sand and desert soil","Передвигать по зыбкому песку не составит проблем. Вы значительно повышаете вашу мобильность при передвижении по песку и пустнынному грунту"
modDesrtResist,item_modifiers,mod,,Sole Protection Mod,Мод Защита подошвы
modDesrtResistDesc,item_modifiers,mod,,"Moving on dangerous surfaces is now no problem. You significantly increase your mobility when moving on dangerous ground, and you are also completely protected from punctures","Передвигать по опасным поверхностям теперь не составит проблем. Вы значительно повышаете вашу мобильность при передвижении по опасному грунту, а также вы полностью защищены от прокола ноги"
